cfg,step,processed,true_distinct_mean,estimate_mean,estimate_std
almost_all_unique,0,10000,9714,9787.38,197.803
almost_all_unique,1,20000,19342,19382.5,274.813
almost_all_unique,2,30000,28939.1,28855.8,437.204
almost_all_unique,3,40000,38523.3,38356.2,392.411
almost_all_unique,4,50000,48082.1,47906.4,530.947
almost_all_unique,5,60000,57623.6,57570.6,672.794
almost_all_unique,6,70000,67147,67044.2,1018.05
almost_all_unique,7,80000,76659.1,76505.1,1360.99
almost_all_unique,8,90000,86165.9,86010.2,1150.1
almost_all_unique,9,100000,95647.6,95303.5,1384.59
almost_all_unique,10,110000,105124,104938,1473.33
almost_all_unique,11,120000,114575,114260,1550.99
almost_all_unique,12,130000,124030,123881,1516.77
almost_all_unique,13,140000,133462,133294,1706.59
almost_all_unique,14,150000,142883,142642,1652.56
almost_all_unique,15,160000,152304,152161,1504.74
almost_all_unique,16,170000,161722,161797,1718.39
almost_all_unique,17,180000,171118,171340,2021.51
almost_all_unique,18,190000,180516,180545,2137.85
almost_all_unique,19,200000,189901,189507,2503.38
many_duplicates,0,10000,7658.85,7674.84,161.727
many_duplicates,1,20000,12241.9,12409.6,188.985
many_duplicates,2,30000,15031,15089.8,236.052
many_duplicates,3,40000,16721.3,16747.1,247.572
many_duplicates,4,50000,17747.5,17771.7,254.449
many_duplicates,5,60000,18370.1,18396.5,249.551
many_duplicates,6,70000,18751.1,18787,257.464
many_duplicates,7,80000,18976,19017.2,256.283
many_duplicates,8,90000,19118.8,19142.4,263.094
many_duplicates,9,100000,19202.9,19215.1,271.169
many_duplicates,10,110000,19251.8,19256.9,268.408
many_duplicates,11,120000,19282,19293.3,279.07
many_duplicates,12,130000,19303,19311.8,279.099
many_duplicates,13,140000,19314.9,19327.1,282.125
many_duplicates,14,150000,19322.8,19331.6,281.212
many_duplicates,15,160000,19327.5,19337.9,277.597
many_duplicates,16,170000,19330.5,19340.5,277.182
many_duplicates,17,180000,19332.4,19342.1,277.062
many_duplicates,18,190000,19333.2,19343.2,278.442
many_duplicates,19,200000,19333.7,19343.8,278.838
heavy_duplicates,0,10000,4235.5,4248.62,44.2173
heavy_duplicates,1,20000,4802.3,4817.06,51.0323
heavy_duplicates,2,30000,4878.95,4889.65,50.0931
heavy_duplicates,3,40000,4889.6,4902.21,50.967
heavy_duplicates,4,50000,4891,4903.21,51.0466
heavy_duplicates,5,60000,4891.25,4903.21,51.0466
heavy_duplicates,6,70000,4891.3,4903.37,50.988
heavy_duplicates,7,80000,4891.35,4903.37,50.988
heavy_duplicates,8,90000,4891.35,4903.37,50.988
heavy_duplicates,9,100000,4891.35,4903.37,50.988
heavy_duplicates,10,110000,4891.35,4903.37,50.988
heavy_duplicates,11,120000,4891.35,4903.37,50.988
heavy_duplicates,12,130000,4891.35,4903.37,50.988
heavy_duplicates,13,140000,4891.35,4903.37,50.988
heavy_duplicates,14,150000,4891.35,4903.37,50.988
heavy_duplicates,15,160000,4891.35,4903.37,50.988
heavy_duplicates,16,170000,4891.35,4903.37,50.988
heavy_duplicates,17,180000,4891.35,4903.37,50.988
heavy_duplicates,18,190000,4891.35,4903.37,50.988
heavy_duplicates,19,200000,4891.35,4903.37,50.988
