cfg,run,step,processed,true_distinct,estimate
almost_all_unique,0,0,10000,9727,9497.93
almost_all_unique,0,1,20000,19365,19763.4
almost_all_unique,0,2,30000,28948,28995.5
almost_all_unique,0,3,40000,38523,38785.6
almost_all_unique,0,4,50000,48096,47881.2
almost_all_unique,0,5,60000,57653,56811.4
almost_all_unique,0,6,70000,67188,66452
almost_all_unique,0,7,80000,76688,74961.1
almost_all_unique,0,8,90000,86209,84796.1
almost_all_unique,0,9,100000,95672,93703.8
almost_all_unique,0,10,110000,105138,103236
almost_all_unique,0,11,120000,114603,113815
almost_all_unique,0,12,130000,124024,123460
almost_all_unique,0,13,140000,133431,134408
almost_all_unique,0,14,150000,142817,143255
almost_all_unique,0,15,160000,152222,151456
almost_all_unique,0,16,170000,161627,162096
almost_all_unique,0,17,180000,171051,171498
almost_all_unique,0,18,190000,180433,180699
almost_all_unique,0,19,200000,189809,188874
almost_all_unique,1,0,10000,9714,9814.79
almost_all_unique,1,1,20000,19354,19231.8
almost_all_unique,1,2,30000,28935,28307
almost_all_unique,1,3,40000,38505,38806.7
almost_all_unique,1,4,50000,48062,48102.3
almost_all_unique,1,5,60000,57550,57281.2
almost_all_unique,1,6,70000,67026,67175.1
almost_all_unique,1,7,80000,76558,75844.1
almost_all_unique,1,8,90000,86051,86320.9
almost_all_unique,1,9,100000,95577,95185.7
almost_all_unique,1,10,110000,105015,105436
almost_all_unique,1,11,120000,114470,116066
almost_all_unique,1,12,130000,123925,127050
almost_all_unique,1,13,140000,133374,136788
almost_all_unique,1,14,150000,142860,146096
almost_all_unique,1,15,160000,152314,154222
almost_all_unique,1,16,170000,161755,163451
almost_all_unique,1,17,180000,171164,173736
almost_all_unique,1,18,190000,180584,182105
almost_all_unique,1,19,200000,189976,190809
almost_all_unique,2,0,10000,9728,9642.75
almost_all_unique,2,1,20000,19341,19333.6
almost_all_unique,2,2,30000,28974,28749.9
almost_all_unique,2,3,40000,38565,38171
almost_all_unique,2,4,50000,48138,48238.2
almost_all_unique,2,5,60000,57669,58277.2
almost_all_unique,2,6,70000,67224,68703.5
almost_all_unique,2,7,80000,76757,77861
almost_all_unique,2,8,90000,86259,87095
almost_all_unique,2,9,100000,95717,96865.9
almost_all_unique,2,10,110000,105214,106650
almost_all_unique,2,11,120000,114632,114802
almost_all_unique,2,12,130000,124128,124105
almost_all_unique,2,13,140000,133585,134709
almost_all_unique,2,14,150000,143020,143601
almost_all_unique,2,15,160000,152420,152370
almost_all_unique,2,16,170000,161841,161991
almost_all_unique,2,17,180000,171260,171823
almost_all_unique,2,18,190000,180593,181815
almost_all_unique,2,19,200000,189987,190055
almost_all_unique,3,0,10000,9695,9858.95
almost_all_unique,3,1,20000,19319,19696.9
almost_all_unique,3,2,30000,28868,29264.9
almost_all_unique,3,3,40000,38467,38802.2
almost_all_unique,3,4,50000,48069,48735.3
almost_all_unique,3,5,60000,57591,58870.1
almost_all_unique,3,6,70000,67090,68273.3
almost_all_unique,3,7,80000,76599,77697.5
almost_all_unique,3,8,90000,86095,86231.6
almost_all_unique,3,9,100000,95548,95467
almost_all_unique,3,10,110000,105008,105038
almost_all_unique,3,11,120000,114461,114825
almost_all_unique,3,12,130000,123884,123047
almost_all_unique,3,13,140000,133284,133648
almost_all_unique,3,14,150000,142721,142260
almost_all_unique,3,15,160000,152151,151118
almost_all_unique,3,16,170000,161574,160775
almost_all_unique,3,17,180000,171012,169372
almost_all_unique,3,18,190000,180381,178938
almost_all_unique,3,19,200000,189779,187602
almost_all_unique,4,0,10000,9706,10299.9
almost_all_unique,4,1,20000,19323,19785.6
almost_all_unique,4,2,30000,28932,29996.1
almost_all_unique,4,3,40000,38515,39127.7
almost_all_unique,4,4,50000,48082,48412.1
almost_all_unique,4,5,60000,57642,57769.2
almost_all_unique,4,6,70000,67135,67697.6
almost_all_unique,4,7,80000,76646,77295.4
almost_all_unique,4,8,90000,86149,87974.4
almost_all_unique,4,9,100000,95625,98446.3
almost_all_unique,4,10,110000,105104,107827
almost_all_unique,4,11,120000,114532,116343
